Nama;Jenis;longitude;latitude
Masjid Jami Al-Hasan;Masjid;107.6304444;-6.9341781
Masjid Al-Karomah;Masjid;107.6333816;-6.9404638
Masjid Al-Ikhlas;Masjid;107.635381;-6.932202
Masjid Al-Miftah;Masjid;107.6342367;-6.9339897
Masjid Al-Kautsar;Masjid;107.631432;-6.9396885
Masjid Al-Hasan 3;Masjid;107.6345715;-6.936467
Masjid Agung Transtudio;Masjid;106.8365972;-6.1770293
Masjid Al-Furqon UPI;Masjid;107.5935545;-6.8623184
Masjid Daarut Tauhid;Masjid;107.590973;-6.862564
Masjid At-Taqwa KPAD;Masjid;107.5867865;-6.8665709
Masjid Nurul Huda;Masjid;107.59623;-6.85216
Masjid Baiturahman (NU);Masjid;107.591749;-6.866665
Masjid Al-Hidayah;Masjid;107.5915142;-6.8575087
Masjid Ulul Albab;Masjid;107.59328;-6.866989
Masjid Al-Barkah;Masjid;107.587305;-6.8686484
Masjid At-Taufiq;Masjid;107.591291;-6.864371
Masjid Darul Ihsan;Masjid;107.586529;-6.872882
Masjid Baabul Firdaus (LDII);Masjid;107.5830202;-6.864876
Masjid Nurul Falah;Masjid;107.587197;-6.862574
Masjid Al-Mubaarokah;Masjid;107.590999;-6.857104
Masjid Baitul Huda;Masjid;107.5804476;-6.8668624
Masjid Al-Amanah;Masjid;107.587359;-6.8683295
Masjid Al-Hidayah Gerlong 86;Masjid;107.588162;-6.869174
Masjid Al-Kautsar;Masjid;107.631432;-6.9396885
Masjid Al-Falaq;Masjid;107.5815772;-6.8643466
Masjid Baiturrohman;Masjid;107.6070285;-6.891087
Masjid Raya Al-Ihsan Darul Hikam;Masjid;107.612645;-6.8969133
Masjid Al-Muklis;Masjid;107.6165804;-6.8755541
Masjid Salman ITB;Masjid;107.6106977;-6.8912894
Masjid As-Salam;Masjid;107.6055487;-6.8938202
Masjid Daarud Da'wah;Masjid;107.6074591;-6.8960085
Masjid Ar-Rahim;Masjid;107.620882;-6.867497
Masjid 'Illman Hadiid;Masjid;107.6180683;-6.8777635
Masjid An Nashru;Masjid;107.6183487;-6.8754431
Masjid Al-Jihad Unpad;Masjid;107.616956;-6.89462
Masjid Al-Mi'raj;Masjid;107.6114056;-6.8761732
Masjid Raya Unpad;Masjid;107.7720165;-6.920569
Masjid Itenas;Masjid;107.6403522;-6.8994855
Masjid Al-Mu'aawanah;Masjid;107.6389044;-6.8971153
Masjid Baitul Hanif;Masjid;107.6353363;-6.894442
Masjid Mubarak;Masjid;107.6344324;-6.8955863
Masjid Jami Al-Huda;Masjid;107.6403522;-6.8994855
Masjid Sudirman;Masjid;107.634579;-6.901468
Masjid Miftahul Iman;Masjid;107.6403522;-6.8994855
Masjid Al-Mu'min;Masjid;107.579844;-6.889901
Masjid Sabulussalam;Masjid;107.6497116;-6.9156917
